word,doc_ids
sometim,"[2, 7, 9, 10, 12, 15, 19]"
thing,"[2, 4, 6, 7, 11, 15, 19]"
took,"[2, 10, 12, 6]"
turn,"[2, 3, 4, 10, 11]"
wors,"[2, 10, 7]"
first,"[2, 3, 4, 7, 10, 11, 12, 15, 17, 18, 19]"
came,[2]
infam,[2]
infinit,[2]
scroll,"[2, 15]"
rememb,"[2, 4, 15]"
uneasi,[2]
page,"[2, 4, 10, 12, 14, 15, 17, 18]"
longer,"[2, 10, 7]"
bottom,[2]
logic,"[2, 7, 9, 10, 12, 15, 17]"
everyth,"[2, 4, 6, 11, 15]"
browser,"[2, 15]"
display,"[9, 2, 4]"
virtual,"[2, 18, 15]"
construct,"[2, 10]"
physic,"[2, 7, 10, 11, 12]"
pixel,[2]
pretend,"[2, 4]"
still,"[2, 4, 7, 10, 11, 12, 15, 17, 19]"
brain,[2]
treat,"[2, 4, 9, 10, 11]"
object,[2]
end,"[2, 7, 9, 15, 19]"
sudden,[2]
disappear,"[2, 4, 14]"
disturb,[2]
eas,"[2, 18]"
bogu,[2]
meaning,"[9, 2, 15]"
signal,"[2, 12, 15]"
arbitrari,"[9, 2, 10]"
prompt,"[2, 4, 12, 14, 15, 17, 18]"
unremark,[2]
surfac,"[2, 15, 7]"
anyway,"[2, 19, 6]"
matter,"[2, 9, 10, 15, 19]"
whether,"[2, 18, 4]"
relev,"[2, 15]"
system,"[2, 6, 7, 10, 12, 14, 15, 18]"
stop,"[2, 4, 10, 14, 15, 17, 18]"
serv,"[2, 15]"
violat,"[2, 7]"
unspoken,[2]
agreement,[2]
despit,"[2, 11]"
remain,"[2, 10]"
dilut,[2]
ye,"[2, 4, 6, 10, 12, 14, 19]"
manipul,"[2, 19, 7]"
least,"[2, 11, 7]"
actual,"[2, 3, 4, 9, 10, 15, 19]"
chosen,[2]
chang,"[2, 3, 4, 6, 7, 9, 10, 11, 14, 15, 17, 18]"
timelin,"[2, 7]"
fewer,"[19, 2, 11]"
friend,[2]
content,"[2, 4, 7, 9, 10, 14, 15, 17, 18, 19]"
random,"[19, 2, 10]"
stranger,[2]
began,"[2, 7]"
stand,"[2, 15]"
front,"[11, 2, 10]"
blare,[2]
loudspeak,[2]
broadcast,[2]
fragment,[2]
convers,"[2, 12, 15]"
world,"[2, 7, 10, 11, 12, 18, 19]"
directli,"[2, 6, 9, 14, 15, 17]"
face,"[2, 12]"
gave,"[2, 19, 6]"
noth,"[2, 4, 6, 7, 10, 15]"
anymor,"[2, 19]"
becom,"[2, 6, 10, 11, 15, 19]"
preciou,[2]
spend,"[19, 2, 11, 6]"
mindlessli,[2]
video,"[19, 2, 11]"
neither,[2]
